TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e009688,41,남,20,4,1,1,5,12,,2,9,3,2,11,11140,50,50110,42,42210,6,4,6,2,3,5,3,2,경기도,서울,부모 동반 여행,2023-08-23~2023-08-23,2,1,3,2
e003836,41,여,30,5,1,1,3,3,,6,12,2,2,26,26350,50,50130,42,42830,1,2,2,1,3,1,3,4,경기도,서울,2인 여행(가족 외),2023-06-24~2023-06-24,2,3,1,1
e000653,11,남,30,5,1,1,1,3,,6,,3,4,41,41110,41,41590,41,41370,2,1,1,2,4,6,1,7,서울특별시,경기,2인 여행(가족 외),2023-05-28~2023-05-30,3,1,2,1
e000032,11,남,40,6,1,1,3,3,,6,9,2,2,41,41190,42,42210,28,28710,1,1,1,1,1,1,2,6,서울특별시,인천,3인 이상 여행(가족 외),2023-04-28~2023-05-01,7,1,2,3
e010226,42,여,30,7,1,1,1,2,,5,,3,2,50,50110,42,42210,11,11680,3,3,2,2,3,3,2,6,강원도,서울,나홀로 여행,2023-08-26~2023-08-26,10,7,1,0
e000554,41,남,60,6,1,2,3,1,,5,7,3,3,46,46810,44,44825,42,42830,1,2,2,1,6,6,1,6,경기도,경기,2인 가족 여행,2023-05-23~2023-05-24,8,1,6,1
e006798,28,남,60,6,1,2,2,3,,5,5,2,2,44,44150,43,43800,50,50130,3,5,4,5,6,5,5,6,인천광역시,경기,나홀로 여행,2023-08-27~2023-08-27,8,6,7,0
e003951,29,여,20,5,2,1,4,12,,2,6,2,1,26,26350,46,46130,50,50130,6,1,1,1,2,4,2,6,광주광역시,서울,2인 여행(가족 외),2023-07-08~2023-07-09,7,3,2,1
e010227,11,여,40,6,1,1,1,3,,5,,3,15,50,50130,50,50110,42,42820,3,4,3,4,3,3,5,4,서울특별시,인천,나홀로 여행,2023-08-23~2023-08-23,8,7,1,0
e003961,44,여,40,6,1,2,4,11,,1,6,2,2,42,42750,44,44825,31,31710,3,3,4,5,3,3,3,7,충청남도,경기,자녀 동반 여행,2023-06-24~2023-06-24,5,3,10,3
e001232,11,남,40,6,1,2,3,2,,9,10,2,2,41,41110,42,42230,41,41280,4,5,3,3,5,5,3,5,서울특별시,경기,자녀 동반 여행,2023-05-27~2023-05-27,7,3,1,2
e000421,42,여,40,6,1,1,3,3,,4,7,3,2,42,42150,43,43150,11,11140,2,2,2,4,3,3,5,4,강원도,서울,3인 이상 여행(가족 외),2023-05-27~2023-05-29,3,2,1,2
e002758,11,남,30,6,1,2,3,2,,6,11,2,1,42,42830,44,44210,42,42150,2,1,4,2,4,4,1,7,서울특별시,경기,자녀 동반 여행,2023-06-17~2023-06-17,3,1,2,2
e000980,11,남,20,6,2,1,3,12,,2,5,3,4,11,11710,26,26350,11,11440,3,2,1,5,4,2,6,6,서울특별시,인천,나홀로 여행,2023-05-27~2023-05-28,1,7,8,0
e000446,47,여,60,4,1,3,1,4,,3,,3,7,11,11590,45,45110,45,45800,4,4,4,1,1,4,6,1,경상북도,서울,나홀로 여행,2023-05-19~2023-05-20,2,1,8,0
e006948,11,남,40,6,1,2,3,3,,2,9,3,5,42,42210,26,26350,28,28710,3,2,1,4,6,3,1,3,서울특별시,경기,자녀 동반 여행,2022-08-13~2022-08-13,3,8,1,2
e007309,41,여,30,6,1,1,4,3,,1,4,3,2,42,42150,50,50130,46,46110,3,3,3,2,2,5,2,5,경기도,서울,나홀로 여행,2023-08-14~2023-08-14,4,7,2,0
e002359,11,남,60,6,1,2,4,3,,5,6,2,2,41,41820,44,44130,41,41670,2,2,2,6,2,3,6,5,서울특별시,인천,3대 동반 여행(친척 포함),2023-06-04~2023-06-05,1,2,3,5
e011436,41,여,40,6,1,2,2,3,,9,9,3,12,42,42830,42,42110,41,41280,1,1,3,2,1,3,1,2,경기도,경기,나홀로 여행,2023-08-26~2023-08-26,1,2,4,0
e003480,41,남,20,7,2,1,5,12,,3,12,3,1,26,26350,42,42210,46,46130,4,4,4,4,4,4,4,4,경기도,서울,나홀로 여행,2023-07-01~2023-07-02,7,6,1,0
e010488,11,여,30,6,1,2,4,3,,2,12,2,2,41,41150,41,41360,41,41250,1,7,4,1,1,2,3,4,서울특별시,경기,자녀 동반 여행,2023-08-27~2023-08-27,3,6,1,3
e008184,11,남,20,6,1,1,1,2,,5,,2,1,42,42820,30,30200,11,11170,3,4,2,3,5,3,6,6,서울특별시,인천,부모 동반 여행,2023-08-20~2023-08-20,1,3,2,2
e007274,11,남,40,6,1,2,2,2,,7,9,2,2,42,42210,28,28110,50,50130,3,2,2,3,6,2,6,6,서울특별시,경기,2인 가족 여행,2023-08-12~2023-08-12,1,7,3,1
e003343,11,여,20,4,1,1,1,3,,4,,3,2,50,50130,47,47130,41,41480,2,2,2,6,7,1,1,5,서울특별시,경기,나홀로 여행,2023-07-01~2023-07-01,2,1,7,0
e001934,42,남,30,6,1,2,3,2,,4,7,2,1,11,11230,41,41820,41,41280,1,4,1,4,4,3,1,7,강원도,서울,자녀 동반 여행,2023-06-06~2023-06-06,7,3,5,2
e004316,41,여,20,6,1,1,1,3,,4,,3,4,50,50110,11,11680,47,47110,1,2,2,2,4,4,6,7,경기도,서울,나홀로 여행,2023-07-08~2023-07-08,1,5,2,0
e004967,11,여,50,7,2,1,3,3,,4,4,3,2,50,50130,26,26350,42,42210,4,7,1,1,1,7,1,1,서울특별시,경기,3인 이상 가족 여행(친척 포함),2023-07-25~2023-07-25,3,2,1,3
e003718,28,남,40,6,1,1,2,2,,6,10,3,5,28,28110,47,47110,50,50130,2,2,2,4,2,6,2,7,인천광역시,경기,3인 이상 여행(가족 외),2023-06-24~2023-06-25,3,1,2,3
e005088,48,남,40,6,1,2,3,3,,5,9,3,1,48,48310,11,11170,42,42150,2,5,2,3,1,6,1,6,경상남도,서울,자녀 동반 여행,2023-07-30~2023-08-01,3,7,1,2
e000378,30,남,40,6,1,2,4,2,,1,4,3,3,41,41110,50,50130,11,11560,4,2,3,3,5,4,3,4,대전광역시,경기,자녀 동반 여행,2023-06-05~2023-06-06,3,1,7,2
e002608,11,남,60,4,1,2,3,3,,4,6,2,1,41,41830,11,11290,43,43770,4,5,4,6,2,4,5,5,서울특별시,경기,3인 이상 여행(가족 외),2023-06-10~2023-06-11,2,1,3,3
e003533,43,남,30,6,1,1,1,3,,4,,2,2,26,26350,11,11710,42,42170,1,1,1,1,1,3,4,4,충청북도,경기,2인 여행(가족 외),2023-06-24~2023-06-25,3,7,2,1
e009438,41,여,40,8,5,2,4,1,,5,9,3,4,42,42210,41,41830,42,42150,1,4,4,3,2,5,7,2,서울특별시,경기,2인 가족 여행,2023-08-27~2023-08-27,6,2,3,1
e009202,41,남,20,5,2,1,4,12,,1,7,2,2,11,11680,11,11710,41,41450,6,6,6,6,6,6,4,7,경기도,서울,2인 여행(가족 외),2023-08-24~2023-08-24,1,8,3,1
e002578,41,남,20,6,1,1,4,12,,2,6,3,2,11,11170,11,11110,11,11440,4,6,4,1,4,4,5,3,경기도,서울,2인 여행(가족 외),2023-06-17~2023-06-17,3,2,1,1
e002504,30,남,30,4,1,1,2,8,,5,7,3,4,11,11620,26,26350,50,50130,3,5,1,1,4,1,2,5,대전광역시,서울,2인 여행(가족 외),2023-06-24~2023-06-24,1,3,7,1
e007810,11,여,40,6,1,2,3,2,,6,12,2,2,42,42210,41,41800,28,28720,1,2,1,4,5,2,2,2,서울특별시,경기,자녀 동반 여행,2023-08-19~2023-08-19,2,1,3,2
e000600,47,남,20,6,1,2,2,2,,5,8,3,6,11,11110,11,11170,11,11680,3,3,3,5,5,5,3,3,경상북도,서울,2인 가족 여행,2023-05-26~2023-05-28,1,3,10,1
e007666,11,여,20,4,1,1,5,12,,2,12,2,1,50,50130,26,26260,29,29155,4,7,2,1,1,6,1,4,서울특별시,경기,2인 여행(가족 외),2023-08-19~2023-08-19,7,2,3,1
e002644,11,여,30,6,1,1,4,2,,4,6,2,1,50,50130,50,50110,42,42210,4,3,3,2,3,3,3,6,서울특별시,경기,나홀로 여행,2023-06-18~2023-06-18,4,1,2,0
e003246,41,남,20,6,1,1,1,9,,3,,2,2,42,42150,41,41110,30,30110,5,3,5,4,5,4,5,3,경기도,경기,나홀로 여행,2023-06-15~2023-06-15,5,2,1,0
e000027,11,여,60,6,1,2,3,3,,4,8,3,3,46,46730,42,42820,41,41820,1,1,1,1,7,6,7,6,서울특별시,경기,부모 동반 여행,2023-04-29~2023-04-29,3,7,1,1
e008343,11,여,40,6,1,2,3,2,,5,8,2,2,41,41480,42,42110,26,26530,6,2,2,2,5,6,5,6,서울특별시,경기,나홀로 여행,2023-08-20~2023-08-20,1,4,2,0
e005410,11,남,20,6,1,1,1,4,,2,,3,2,50,50110,26,26350,11,11680,5,2,6,6,4,5,7,5,서울특별시,경기,나홀로 여행,2023-07-24~2023-07-24,2,6,4,0
e004350,41,남,30,6,1,2,3,4,,3,7,2,1,42,42210,26,26350,30,30200,4,1,2,1,4,2,1,7,경기도,서울,자녀 동반 여행,2023-07-08~2023-07-08,8,1,4,1
e010241,11,여,30,6,1,1,1,2,,4,,3,6,42,42150,42,42210,41,41830,2,1,3,7,6,4,4,7,서울특별시,경기,2인 여행(가족 외),2023-08-27~2023-08-27,2,1,3,1
e006938,42,남,30,6,1,2,3,2,,4,5,1,2,42,42110,41,41460,43,43130,2,6,2,2,3,2,3,7,강원도,서울,2인 가족 여행,2023-08-25~2023-08-25,2,1,3,1
e003524,11,남,40,5,1,2,4,7,,8,8,2,1,41,41800,41,41250,42,42750,3,2,4,4,5,4,1,5,서울특별시,경기,자녀 동반 여행,2023-07-08~2023-07-09,2,3,6,3
e003529,11,남,60,8,1,2,2,1,,4,5,2,3,42,42820,41,41820,42,42210,3,5,5,4,3,3,3,5,서울특별시,경기,3인 이상 여행(가족 외),2023-06-23~2023-06-23,2,1,7,2
e006898,41,남,60,6,1,2,4,3,,2,2,2,1,42,42150,41,41670,11,11110,5,5,4,3,3,5,2,3,경기도,경기,3대 동반 여행(친척 포함),2023-08-18~2023-08-18,3,1,7,2
e000934,26,여,20,7,1,2,2,3,,5,9,2,1,48,48270,48,48310,46,46130,2,4,4,4,2,4,3,6,부산광역시,서울,나홀로 여행,2023-06-07~2023-06-09,1,2,6,0
e007774,11,여,60,6,1,2,4,3,,2,9,2,2,50,50130,42,42150,26,26350,1,2,2,2,4,4,2,6,서울특별시,경기,2인 가족 여행,2023-08-25~2023-08-25,2,1,4,1
e001524,11,남,20,5,1,1,2,3,,5,10,2,1,41,41820,41,41110,28,28710,3,1,2,6,6,4,6,5,서울특별시,경기,2인 여행(가족 외),2023-06-09~2023-06-10,1,2,3,1
e010710,11,여,20,6,1,1,3,4,,4,7,3,5,11,11440,41,41460,48,48170,2,2,2,4,6,3,6,7,서울특별시,경기,2인 여행(가족 외),2023-08-26~2023-08-26,3,1,7,1
e005531,11,여,20,6,1,1,1,13,,4,,4,1,42,42150,50,50110,30,30200,3,1,1,4,5,6,6,6,서울특별시,경기,나홀로 여행,2023-07-25~2023-07-26,4,2,7,0
e008337,41,남,60,6,1,2,1,13,,3,,2,2,50,50130,26,26710,30,30140,4,3,2,3,2,2,5,6,경기도,서울,나홀로 여행,2023-08-22~2023-08-22,2,5,,0
e009589,11,여,20,6,1,1,1,2,,6,,2,1,41,41130,50,50110,26,26500,4,2,3,6,2,4,1,7,서울특별시,경기,2인 여행(가족 외),2023-09-02~2023-09-02,1,3,5,1
e010671,30,여,20,4,1,1,2,7,,4,6,2,1,41,41460,50,50130,50,50110,2,3,2,3,2,2,6,6,대전광역시,경기,2인 여행(가족 외),2023-08-24~2023-08-24,6,7,4,1
e004682,41,여,30,7,2,1,1,4,,5,,3,4,42,42150,50,50130,26,26710,2,2,6,3,2,3,4,2,경기도,서울,나홀로 여행,2023-07-11~2023-07-13,2,4,6,0
e000965,11,여,40,4,1,2,4,2,,2,6,2,1,42,42210,41,41650,48,48850,2,6,2,3,6,6,2,7,서울특별시,경기,2인 가족 여행,2023-06-03~2023-06-03,9,2,1,1
e003764,41,여,30,6,1,1,5,3,,4,11,3,4,26,26350,42,42150,11,11140,4,3,5,5,3,5,7,6,경기도,서울,나홀로 여행,2023-06-23~2023-06-23,1,,,0
e002247,11,여,60,4,1,3,3,11,,1,5,3,1,42,42210,26,26350,47,47130,2,3,3,4,2,6,6,6,서울특별시,경기,나홀로 여행,2023-06-07~2023-06-07,8,7,6,0
e000411,30,여,30,6,1,1,1,2,,4,,2,2,11,11560,27,27260,41,41570,6,2,4,4,4,4,5,5,대전광역시,서울,나홀로 여행,2023-05-19~2023-05-21,7,6,1,0
e002997,41,여,60,4,1,2,2,4,,5,7,2,1,42,42830,48,48840,27,27290,2,2,2,3,2,2,2,2,경기도,서울,자녀 동반 여행,2023-07-07~2023-07-08,2,3,7,3
e001995,11,여,30,6,1,1,3,3,,2,10,2,1,42,42820,50,50130,26,26230,2,1,1,5,4,2,5,6,서울특별시,경기,나홀로 여행,2023-05-31~2023-05-31,1,2,5,0
e006873,41,여,30,6,5,1,3,2,,6,12,3,3,50,50110,42,42210,11,11440,1,2,6,3,5,6,1,5,경기도,서울,나홀로 여행,2022-08-09~2022-08-09,8,4,1,0
e008071,41,남,30,4,1,1,2,4,,2,6,2,1,42,42150,42,42210,50,50130,4,1,2,4,4,1,4,7,경기도,경기,2인 여행(가족 외),2023-08-22~2023-08-22,3,5,2,1
e007624,28,여,20,4,1,1,3,12,,2,6,2,1,46,46130,11,11440,42,42150,3,3,2,4,4,4,2,5,인천광역시,경기,2인 여행(가족 외),2023-08-18~2023-08-18,3,1,7,1
e007909,11,여,20,6,1,1,3,2,,4,9,2,2,41,41460,41,41360,42,42150,5,6,6,2,1,6,6,4,서울특별시,경기,2인 여행(가족 외),2023-08-23~2023-08-23,2,1,3,1
e007712,41,여,20,6,1,1,1,3,,4,,3,2,11,11440,30,30200,41,41150,4,6,3,4,4,1,7,5,경기도,서울,나홀로 여행,2023-09-10~2023-09-10,7,8,,0
e007787,41,여,20,6,1,1,1,2,,4,,2,1,11,11410,27,27110,50,50130,2,2,2,3,3,5,3,6,경기도,서울,2인 여행(가족 외),2023-08-26~2023-08-26,2,3,7,1
e009309,41,여,20,4,1,1,5,4,,4,7,3,2,11,11170,50,50130,42,42150,6,6,6,4,5,5,5,3,경기도,서울,2인 여행(가족 외),2023-08-31~2023-08-31,2,8,3,1
e005529,28,여,20,4,1,1,3,3,,3,7,4,1,50,50130,46,46130,26,26350,2,1,1,1,4,4,7,1,인천광역시,서울,2인 여행(가족 외),2023-07-23~2023-07-23,3,8,1,1
e012763,41,여,30,6,1,1,3,2,,6,8,2,1,41,41830,42,42210,42,42830,2,5,2,5,1,5,2,1,경기도,서울,부모 동반 여행,2023-09-24~2023-09-24,2,3,,2
e003548,30,남,30,6,1,1,2,9,,3,6,3,3,50,50130,11,11230,26,26110,2,6,6,6,4,6,2,5,대전광역시,서울,2인 여행(가족 외),2023-06-18~2023-06-19,2,1,3,1
e003986,41,남,30,7,1,1,4,4,,4,7,2,3,41,41480,50,50110,11,11440,3,2,2,5,3,3,5,4,경기도,경기,2인 여행(가족 외),2023-06-29~2023-06-30,1,3,7,1
e000781,11,남,60,5,1,2,4,2,,5,9,2,1,28,28710,26,26260,50,50130,7,7,7,4,1,4,6,1,서울특별시,인천,2인 가족 여행,2023-05-25~2023-05-25,3,8,2,1
e001541,11,남,50,6,1,2,3,2,,7,7,3,6,50,50130,42,42150,41,41820,5,5,3,3,5,5,5,3,서울특별시,경기,3인 이상 여행(가족 외),2023-05-28~2023-05-28,10,2,7,2
e003351,44,여,60,4,1,2,4,11,,1,6,2,1,42,42150,46,46150,26,26350,1,1,4,1,2,2,4,7,충청남도,서울,2인 가족 여행,2023-06-28~2023-06-28,1,3,2,1
e003914,41,남,20,6,1,1,4,2,,5,11,2,5,42,42830,41,41460,11,11440,2,3,1,4,6,1,2,5,경기도,서울,2인 여행(가족 외),2023-06-25~2023-06-25,7,1,3,1
e006841,11,여,30,6,1,2,6,3,,4,7,2,2,42,42750,30,30200,26,26260,5,1,2,5,6,3,2,6,서울특별시,경기,자녀 동반 여행,2023-08-23~2023-08-23,7,5,1,1
e001558,11,여,20,6,1,1,2,3,,4,5,2,1,42,42210,42,42830,41,41480,2,2,1,3,2,4,3,4,서울특별시,경기,나홀로 여행,2023-06-03~2023-06-05,1,7,4,0
e003491,41,여,30,6,1,2,3,2,,4,8,2,3,46,46130,48,48840,41,41820,2,1,5,6,2,1,6,5,서울특별시,경기,자녀 동반 여행,2023-07-01~2023-07-02,2,3,1,8
e002996,41,남,30,6,1,2,2,2,,6,10,1,1,50,50110,11,11110,41,41460,6,6,2,2,1,4,5,3,경기도,경기,2인 가족 여행,2023-06-11~2023-06-11,1,7,2,1
e001895,41,여,20,7,1,1,4,3,,4,12,2,2,11,11560,28,28110,11,11440,3,3,1,2,4,4,6,6,경기도,서울,2인 여행(가족 외),2023-06-05~2023-06-05,3,2,5,1
e000809,41,남,30,6,1,1,1,2,,5,,3,2,42,42150,41,41280,11,11740,3,3,3,4,6,3,3,3,경기도,경기,2인 여행(가족 외),2023-06-04~2023-06-05,1,2,3,1
e004605,41,여,60,6,1,2,3,4,,2,6,3,3,50,50110,42,42150,41,41820,2,4,1,1,2,4,1,5,경기도,경기,3대 동반 여행(친척 포함),2023-07-07~2023-07-07,7,3,2,2
e002203,41,남,40,6,1,2,4,2,,5,7,3,3,41,41210,28,28110,11,11230,7,6,2,6,1,1,6,2,경기도,경기,2인 여행(가족 외),2023-06-03~2023-06-03,7,1,2,1
e005693,43,남,20,4,4,1,2,7,,4,7,2,2,46,46130,42,42150,44,44770,2,6,6,2,2,4,6,2,충청북도,서울,2인 여행(가족 외),2023-07-29~2023-07-29,7,1,2,1
e000036,41,여,30,7,1,1,4,2,,3,8,3,5,50,50130,48,48220,46,46150,4,3,2,3,1,4,4,6,경기도,서울,2인 여행(가족 외),2023-04-29~2023-04-29,3,7,2,1
e008065,11,여,30,6,1,1,1,13,,3,,2,2,41,41360,41,41830,42,42830,6,7,4,5,6,3,7,1,서울특별시,경기,3인 이상 여행(가족 외),2023-08-20~2023-08-20,6,3,5,4
e006787,41,여,30,6,1,1,4,3,,4,11,3,2,42,42150,42,42210,50,50110,4,4,4,2,4,4,3,6,경기도,서울,2인 여행(가족 외),2023-08-25~2023-08-25,7,3,5,1
e003118,11,여,30,5,1,1,4,2,,3,6,3,4,50,50130,42,42150,42,42170,1,1,1,1,4,4,1,7,서울특별시,경기,2인 여행(가족 외),2023-07-08~2023-07-09,2,1,3,1
e000542,30,남,20,6,3,1,4,12,,2,8,2,1,11,11110,26,26350,50,50110,1,1,2,7,3,4,5,3,대전광역시,서울,2인 여행(가족 외),2023-05-24~2023-05-25,2,1,,1
e008140,41,여,20,6,1,1,4,12,,2,5,2,2,50,50130,26,26260,11,11200,4,3,2,1,6,2,5,4,경기도,서울,나홀로 여행,2023-09-06~2023-09-06,1,5,10,0
e005141,48,남,30,6,1,1,2,3,,4,4,1,3,11,11200,27,27140,26,26350,5,2,1,5,7,3,2,7,경상남도,서울,2인 여행(가족 외),2023-07-14~2023-07-16,5,1,7,1
e007463,11,여,30,6,1,1,1,2,,5,,2,1,42,42830,41,41830,50,50130,1,1,1,1,4,4,7,4,서울특별시,경기,2인 여행(가족 외),2023-08-15~2023-08-15,6,2,1,1
e000898,28,여,40,6,1,2,2,3,,4,7,3,3,42,42150,50,50110,26,26350,2,1,2,3,2,2,2,4,인천광역시,경기,2인 여행(가족 외),2023-05-25~2023-05-26,3,2,1,1
e000659,45,남,30,6,1,2,2,3,,4,6,2,1,46,46110,50,50110,42,42150,1,1,1,1,1,1,7,4,전라북도,서울,2인 여행(가족 외),2023-05-19~2023-05-19,4,7,5,1
e008340,41,남,30,6,1,1,2,2,,6,6,3,5,26,26200,42,42150,50,50130,4,3,6,5,6,2,6,5,경기도,경기,2인 여행(가족 외),2023-08-27~2023-08-27,1,3,2,1
e007830,11,여,50,6,1,2,4,3,,6,9,3,3,41,41820,42,42150,28,28710,1,1,3,2,2,7,1,4,서울특별시,경기,3인 이상 여행(가족 외),2023-08-20~2023-08-20,3,1,2,5
e004583,11,여,60,6,1,2,3,11,,1,8,3,3,42,42210,26,26350,50,50110,4,4,2,4,6,2,4,2,서울특별시,경기,부모 동반 여행,2023-07-04~2023-07-04,6,3,2,2
e001002,11,여,20,6,1,1,4,2,,4,12,3,4,26,26350,42,42150,50,50130,2,2,2,4,2,6,6,2,서울특별시,경기,나홀로 여행,2023-05-29~2023-05-29,2,1,7,0
